layer,shape,mae,rmse,max_abs,relative_rmse
0,(768, 768),0.20468220098421433,0.2558054909109422,1.0832597323381359,0.7456655170577582
1,(768, 768),0.2038572594265368,0.2547480440846813,1.0925268282389557,0.7431102928710233
2,(768, 768),0.2042646271954714,0.2553501121993049,1.199399631536989,0.7436313675345654
3,(768, 768),0.20451069732953206,0.2557486934340431,1.1516281095516954,0.7448964523970839
4,(768, 768),0.20405448089035685,0.2551568028198157,1.2117851229137542,0.7441963771142523
5,(768, 768),0.2044716357620058,0.2556210783799099,1.1613768488071983,0.7441435534901517
6,(768, 768),0.20439432931808976,0.2555672520555808,1.128980605779303,0.7447939783232401
7,(768, 768),0.20452012438207495,0.2556580593455843,1.126131747205398,0.7445643630849347
8,(768, 768),0.20485598869307559,0.25612098909944125,1.2421431375801495,0.7452725100916686
9,(768, 768),0.20463189995325776,0.2557554986857725,1.1959459950388618,0.7452711236541029
10,(768, 768),0.20471053892631408,0.2558819532846153,1.1415438068247101,0.7450726567317347
11,(768, 768),0.2043715881961303,0.25538266760036177,1.2303240224810843,0.7451674155945287
12,(768, 768),0.20499655762992267,0.2561613926233535,1.1416663971425345,0.7455286915867257
13,(768, 768),0.2045180232803904,0.2556088959694297,1.1417086005514832,0.7446699281468165
14,(768, 768),0.20479470078105186,0.2559292249673012,1.111055495297927,0.7445919371093027
15,(768, 768),0.20431030533607636,0.2554753773945255,1.1599051499498474,0.7454178032936047
16,(768, 768),0.2046580170896717,0.2557583165543507,1.0922282487035644,0.7446550808511965
17,(768, 768),0.20473682181729705,0.2558482919090255,1.1360463503019569,0.7462075310188614
18,(768, 768),0.20467869900900068,0.2558229729439064,1.2004760118495033,0.7442759214056173
19,(768, 768),0.20397380704716606,0.2548515919196341,1.1426570853070954,0.7434685925347944
20,(768, 768),0.2036564842696952,0.254555734336047,1.1110254925077512,0.7434138584884274
21,(768, 768),0.2046097967732404,0.2557320605002762,1.2184867465401632,0.7453345448572047
22,(768, 768),0.20427746705130226,0.255359211719672,1.1531517560674764,0.7442472035661766
23,(768, 768),0.20448292996416356,0.2556414127694936,1.2287741149431506,0.7446690024952697
